"Intermittently Exposed","Intermittently Flooded","Permanently Flooded","Seasonally Flooded","Seasonally Flooded/Saturated","Seasonally Saturated","Semipermanently Flooded","Temporary Flooded"
-0.00537783984231469,-0.000906957734599734,-0.00630600429906007,-0.000634152819379022,-0.00365964306111142,-0.00331150250635632,-0.00460667557188995,-0.0008982046972145
-0.00618155361095766,-0.00117267904866671,-0.00663429276760037,-0.00454945586964991,-0.00397980057222309,-0.00205348052252055,-0.00400821858618026,-0.00106974846007061
-0.00621569663795541,-0.0010820489205526,-0.00566452625746424,-0.00482637184332298,-0.00219401842487336,-0.00288392753060289,-0.00362883266027371,-0.000885265319855786
-0.00454560036936763,0.00187467386571538,-0.00343413673083083,-0.00166675032481104,-0.00535810832950792,-0.00334505057512294,-0.00469349430234394,-0.000815965186415729
-0.00385152392893861,-0.00174451166540245,-0.00565516524938268,-0.00488309386054399,-0.00276063184458232,-0.00521095160290883,-0.00305558504039695,0.000329828512686817
-0.00386469556400769,0.00141154320234548,-0.00303240899999082,-0.00343966568878146,-0.00595166310031306,-0.00137543283071342,-0.00598932437284012,-0.000287239579783547
-0.00405269583646978,-2.23045498998376e-05,-0.00322840949172274,-0.00366632301130554,-0.00576130185898231,-0.00375457570841877,-0.0051061573549072,-5.90218660022849e-05
-0.00435669991796141,-0.00112008136551026,-0.00668796026962661,-0.00394574973280069,-0.00382910908676997,-0.00412467762621833,-0.00497415938403279,0.000435845896321707
-0.00378295778924392,-5.81615717770358e-05,-0.00203695274237949,-0.00343803883380876,-0.00632477917371749,-0.00241740418833719,-0.00448757231495732,-0.000326447649549913
-0.00455430977525477,-8.44012829403396e-05,-0.00537970815441654,-0.00438416566724413,-0.00176812707131084,-0.00319517429212608,-0.00413877178089538,-0.000239251528040586
-0.00495123293915946,0.000401812832461758,-0.00341975374588912,-0.00278443086319002,-0.00560216644361696,-0.00288136035874342,-0.00436443076105194,-0.000282006527432108
-0.00282567544291499,-0.000480998813181299,-0.00541213021131568,-0.00517335121074488,-0.00290664789208675,-0.00412907251792032,-0.00423307042274784,-0.000226786673829122
-0.00503886639418765,0.000409992941667204,-0.00306946783180898,-0.00235406662230623,-0.00480302347742122,-0.00208014425316529,-0.00264830719402122,0.000325478299785003
